t,offset_ns,servo_state,freq_raw,path_delay_ns,raw,t_rel_s,t_bin_s,sample_idx,scenario,run_id,role
8251.576,-667421,2,-768134,886706,ptp4l[8251.576]: master offset    -667421 s2 freq -768134 path delay    886706,53.03299999999945,53,53,low,run11,boundary
8252.579,-36143,2,-705043,807877,ptp4l[8252.579]: master offset     -36143 s2 freq -705043 path delay    807877,54.03600000000006,54,54,low,run11,boundary
8253.579,-423732,2,-744225,807877,ptp4l[8253.579]: master offset    -423732 s2 freq -744225 path delay    807877,55.03600000000006,55,55,low,run11,boundary
8254.581,513559,2,-649983,716633,ptp4l[8254.581]: master offset     513559 s2 freq -649983 path delay    716633,56.038000000000466,56,56,low,run11,boundary
8255.58,-92192,2,-710650,716633,ptp4l[8255.580]: master offset     -92192 s2 freq -710650 path delay    716633,57.03700000000026,57,57,low,run11,boundary
8256.581,29066,2,-698495,716633,ptp4l[8256.581]: master offset      29066 s2 freq -698495 path delay    716633,58.038000000000466,58,58,low,run11,boundary
8257.581,-169798,2,-718551,716633,ptp4l[8257.581]: master offset    -169798 s2 freq -718551 path delay    716633,59.038000000000466,59,59,low,run11,boundary
8258.581,138019,2,-687632,716633,ptp4l[8258.581]: master offset     138019 s2 freq -687632 path delay    716633,60.038000000000466,60,60,low,run11,boundary
8259.582,-234188,2,-725086,806912,ptp4l[8259.582]: master offset    -234188 s2 freq -725086 path delay    806912,61.03900000000067,61,61,low,run11,boundary
8260.583,340238,2,-667304,806912,ptp4l[8260.583]: master offset     340238 s2 freq -667304 path delay    806912,62.04000000000087,62,62,low,run11,boundary
8261.583,-241098,2,-725678,813122,ptp4l[8261.583]: master offset    -241098 s2 freq -725678 path delay    813122,63.04000000000087,63,63,low,run11,boundary
8262.585,822386,2,-618508,813122,ptp4l[8262.585]: master offset     822386 s2 freq -618508 path delay    813122,64.04199999999946,64,64,low,run11,boundary
8263.584,133806,2,-687232,871298,ptp4l[8263.584]: master offset     133806 s2 freq -687232 path delay    871298,65.04100000000108,65,65,low,run11,boundary
8264.587,476192,2,-652517,871298,ptp4l[8264.587]: master offset     476192 s2 freq -652517 path delay    871298,66.04399999999987,66,66,low,run11,boundary
8265.586,-375309,2,-738042,874474,ptp4l[8265.586]: master offset    -375309 s2 freq -738042 path delay    874474,67.04299999999967,67,67,low,run11,boundary
8266.589,401218,2,-659988,874474,ptp4l[8266.589]: master offset     401218 s2 freq -659988 path delay    874474,68.04600000000028,68,68,low,run11,boundary
8267.589,-730213,2,-773862,928302,ptp4l[8267.589]: master offset    -730213 s2 freq -773862 path delay    928302,69.04600000000028,69,69,low,run11,boundary
8268.591,-39897,2,-704870,918598,ptp4l[8268.591]: master offset     -39897 s2 freq -704870 path delay    918598,70.04800000000068,70,70,low,run11,boundary
8269.59,-499710,2,-751351,923253,ptp4l[8269.590]: master offset    -499710 s2 freq -751351 path delay    923253,71.04700000000048,71,71,low,run11,boundary
8270.592,-54269,2,-706861,923253,ptp4l[8270.592]: master offset     -54269 s2 freq -706861 path delay    923253,72.04900000000089,72,72,low,run11,boundary
8271.592,-396155,2,-741446,911620,ptp4l[8271.592]: master offset    -396155 s2 freq -741446 path delay    911620,73.04900000000089,73,73,low,run11,boundary
8272.593,-563132,2,-758707,900701,ptp4l[8272.593]: master offset    -563132 s2 freq -758707 path delay    900701,74.05000000000109,74,74,low,run11,boundary
8273.593,-79063,2,-710379,900701,ptp4l[8273.593]: master offset     -79063 s2 freq -710379 path delay    900701,75.05000000000109,75,75,low,run11,boundary
8274.595,-48277,2,-707349,900701,ptp4l[8274.595]: master offset     -48277 s2 freq -707349 path delay    900701,76.05199999999968,76,76,low,run11,boundary
8275.594,-429260,2,-745876,900701,ptp4l[8275.594]: master offset    -429260 s2 freq -745876 path delay    900701,77.05099999999948,77,77,low,run11,boundary
8276.595,-183608,2,-721495,853526,ptp4l[8276.595]: master offset    -183608 s2 freq -721495 path delay    853526,78.05199999999968,78,78,low,run11,boundary
8277.595,-339642,2,-737438,853526,ptp4l[8277.595]: master offset    -339642 s2 freq -737438 path delay    853526,79.05199999999968,79,79,low,run11,boundary
8278.597,1020756,2,-600377,853526,ptp4l[8278.597]: master offset    1020756 s2 freq -600377 path delay    853526,80.05400000000009,80,80,low,run11,boundary
8279.596,-191436,2,-721788,853526,ptp4l[8279.596]: master offset    -191436 s2 freq -721788 path delay    853526,81.05299999999988,81,81,low,run11,boundary
8280.599,-152403,2,-718037,815336,ptp4l[8280.599]: master offset    -152403 s2 freq -718037 path delay    815336,82.0560000000005,82,82,low,run11,boundary
8281.599,-321431,2,-735261,815336,ptp4l[8281.599]: master offset    -321431 s2 freq -735261 path delay    815336,83.0560000000005,83,83,low,run11,boundary
8282.598,-194044,2,-722716,1072840,ptp4l[8282.598]: master offset    -194044 s2 freq -722716 path delay   1072840,84.05500000000029,84,84,low,run11,boundary
8283.598,-796684,2,-783777,1206926,ptp4l[8283.598]: master offset    -796684 s2 freq -783777 path delay   1206926,85.05500000000029,85,85,low,run11,boundary
8284.6,-57228,2,-709889,1206926,ptp4l[8284.600]: master offset     -57228 s2 freq -709889 path delay   1206926,86.0570000000007,86,86,low,run11,boundary
8285.602,1443963,2,-558326,1072840,ptp4l[8285.602]: master offset    1443963 s2 freq -558326 path delay   1072840,87.0590000000011,87,87,low,run11,boundary
8286.602,-48550,2,-707626,1206926,ptp4l[8286.602]: master offset     -48550 s2 freq -707626 path delay   1206926,88.0590000000011,88,88,low,run11,boundary
8287.601,-744775,2,-777993,1206926,ptp4l[8287.601]: master offset    -744775 s2 freq -777993 path delay   1206926,89.0580000000009,89,89,low,run11,boundary
8288.603,212453,2,-682058,1072840,ptp4l[8288.603]: master offset     212453 s2 freq -682058 path delay   1072840,90.05999999999949,90,90,low,run11,boundary
8289.604,-385524,2,-742241,1072840,ptp4l[8289.604]: master offset    -385524 s2 freq -742241 path delay   1072840,91.0609999999997,91,91,low,run11,boundary
8290.604,-317759,2,-735782,1072840,ptp4l[8290.604]: master offset    -317759 s2 freq -735782 path delay   1072840,92.0609999999997,92,92,low,run11,boundary
8291.605,-565634,2,-761135,983671,ptp4l[8291.605]: master offset    -565634 s2 freq -761135 path delay    983671,93.0619999999999,93,93,low,run11,boundary
8292.606,-179218,2,-722673,897563,ptp4l[8292.606]: master offset    -179218 s2 freq -722673 path delay    897563,94.0630000000001,94,94,low,run11,boundary
8293.606,-349348,2,-740035,897563,ptp4l[8293.606]: master offset    -349348 s2 freq -740035 path delay    897563,95.0630000000001,95,95,low,run11,boundary
8294.607,-87829,2,-713971,897563,ptp4l[8294.607]: master offset     -87829 s2 freq -713971 path delay    897563,96.0640000000003,96,96,low,run11,boundary
8295.608,-114961,2,-716799,895417,ptp4l[8295.608]: master offset    -114961 s2 freq -716799 path delay    895417,97.06500000000051,97,97,low,run11,boundary
8296.609,-101355,2,-715540,854555,ptp4l[8296.609]: master offset    -101355 s2 freq -715540 path delay    854555,98.06600000000071,98,98,low,run11,boundary
8297.609,-289802,2,-734674,801494,ptp4l[8297.609]: master offset    -289802 s2 freq -734674 path delay    801494,99.06600000000071,99,99,low,run11,boundary
8298.61,-41851,2,-709921,762509,ptp4l[8298.610]: master offset     -41851 s2 freq -709921 path delay    762509,100.06700000000092,100,100,low,run11,boundary
8299.611,-21415,2,-707899,762509,ptp4l[8299.611]: master offset     -21415 s2 freq -707899 path delay    762509,101.06800000000112,101,101,low,run11,boundary
8300.611,145955,2,-691016,762509,ptp4l[8300.611]: master offset     145955 s2 freq -691016 path delay    762509,102.06800000000112,102,102,low,run11,boundary
