t,rms_ns,max_ns,freq_raw,freq_pm_raw,path_delay_ns,path_delay_pm_ns,raw,t_rel_s,t_bin_s,sample_idx,scenario,run_id,role
7929.942,299925,378515,-1968936,9260,1023559,0,ptp4l[7929.942]: rms 299925 max 378515 freq -1968936 +/- 9260 delay 1023559 +/-   0,22.020000000000437,22,11,low,run10,client
7931.941,408487,526019,-1955303,38361,1047743,0,ptp4l[7931.941]: rms 408487 max 526019 freq -1955303 +/- 38361 delay 1047743 +/-   0,24.019000000000233,24,12,low,run10,client
7933.944,560805,701242,-1995296,16352,1092586,44842,ptp4l[7933.944]: rms 560805 max 701242 freq -1995296 +/- 16352 delay 1092586 +/- 44842,26.022000000000844,26,13,low,run10,client
7935.945,197894,263958,-1950482,17980,933959,0,ptp4l[7935.945]: rms 197894 max 263958 freq -1950482 +/- 17980 delay 933959 +/-   0,28.02300000000014,28,14,low,run10,client
7937.942,158252,219932,-1955375,8904,815649,55551,ptp4l[7937.942]: rms 158252 max 219932 freq -1955375 +/- 8904 delay 815649 +/- 55551,30.020000000000437,30,15,low,run10,client
7939.948,536780,704706,-1921134,49699,705385,0,ptp4l[7939.948]: rms 536780 max 704706 freq -1921134 +/- 49699 delay 705385 +/-   0,32.02600000000075,32,16,low,run10,client
7941.95,276274,367080,-1930192,25228,613814,0,ptp4l[7941.950]: rms 276274 max 367080 freq -1930192 +/- 25228 delay 613814 +/-   0,34.02800000000025,34,17,low,run10,client
7943.953,67834,89335,-1944462,6232,630082,11503,ptp4l[7943.953]: rms 67834 max 89335 freq -1944462 +/- 6232 delay 630082 +/- 11503,36.03100000000086,36,18,low,run10,client
7945.954,126502,136194,-1940764,12678,554934,0,ptp4l[7945.954]: rms 126502 max 136194 freq -1940764 +/- 12678 delay 554934 +/-   0,38.03200000000015,38,19,low,run10,client
7947.957,1502844,2121338,-1841229,113648,571502,16568,ptp4l[7947.957]: rms 1502844 max 2121338 freq -1841229 +/- 113648 delay 571502 +/- 16568,40.035000000000764,40,20,low,run10,client
7949.958,783589,1096670,-1892451,63341,608686,20616,ptp4l[7949.958]: rms 783589 max 1096670 freq -1892451 +/- 63341 delay 608686 +/- 20616,42.03600000000006,42,21,low,run10,client
7951.958,256183,291588,-1964469,3974,710434,0,ptp4l[7951.958]: rms 256183 max 291588 freq -1964469 +/- 3974 delay 710434 +/-   0,44.03600000000006,44,22,low,run10,client
7953.959,152894,215834,-1949635,11448,710434,0,ptp4l[7953.959]: rms 152894 max 215834 freq -1949635 +/- 11448 delay 710434 +/-   0,46.03700000000026,46,23,low,run10,client
7955.965,264803,299171,-1935867,26371,679036,31398,ptp4l[7955.965]: rms 264803 max 299171 freq -1935867 +/- 26371 delay 679036 +/- 31398,48.043000000000575,48,24,low,run10,client
7957.967,262036,326318,-1931891,25260,746197,53095,ptp4l[7957.967]: rms 262036 max 326318 freq -1931891 +/- 25260 delay 746197 +/- 53095,50.04500000000007,50,25,low,run10,client
7959.969,288197,396887,-1964186,15162,844801,6412,ptp4l[7959.969]: rms 288197 max 396887 freq -1964186 +/- 15162 delay 844801 +/- 6412,52.04700000000048,52,26,low,run10,client
7961.968,235768,328592,-1959367,13573,788688,22482,ptp4l[7961.968]: rms 235768 max 328592 freq -1959367 +/- 13573 delay 788688 +/- 22482,54.04600000000028,54,27,low,run10,client
7963.97,277402,313871,-1967990,4083,707385,0,ptp4l[7963.970]: rms 277402 max 313871 freq -1967990 +/- 4083 delay 707385 +/-   0,56.048000000000684,56,28,low,run10,client
