role,scenario,run_id,source_file,t_first_selected_s,offset_mean_ms_post,offset_std_ms_post,offset_p95_ms_post,offset_maxabs_ms_post,jitter_mean_ms_post,jitter_p95_ms_post,delay_mean_ms_post,delay_p95_ms_post,reach_final_raw,reach_final_oct
client,medium,run06,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/medium/run06/ntp_client_live.log,557.0,-6.785088888888887,1.5394533357458648,-4.876,9.5953,2.3050317460317458,3.7787399999999995,16.04524285714286,22.655759999999997,377,255
boundary,medium,run06,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/medium/run06/ntp_boundary_live.log,513.0,0.3758530303030303,0.43853153459794664,1.6360249999999998,1.8657,0.6813833333333333,1.35565,1.1917469696969696,4.30165,377,255
client,medium,run07,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/medium/run07/ntp_client_live.log,564.0,-7.912515873015872,2.115564693638507,-4.2776200000000015,10.9256,2.7112777777777772,4.664739999999999,18.483761904761906,26.5874,377,255
boundary,medium,run07,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/medium/run07/ntp_boundary_live.log,519.0,0.5534893939393938,0.7173314007494482,2.1955,2.1955,0.9219636363636364,1.8939,1.9339984848484846,5.3633,377,255
client,medium,run08,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/medium/run08/ntp_client_live.log,578.0,-5.100879032258065,3.7140848219052884,0.4554,9.2166,3.8839774193548395,8.7066,12.628030645161292,20.884869999999996,377,255
boundary,medium,run08,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/medium/run08/ntp_boundary_live.log,518.0,0.10173181818181817,0.15839998170074787,0.534175,0.6341,0.3722196969696969,0.657,0.6909181818181818,1.742175,377,255
client,medium,run09,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/medium/run09/ntp_client_live.log,557.0,-6.229744444444444,3.606690891079977,0.5933,10.1731,5.307793650793654,8.94801,14.21387936507937,21.7659,377,255
boundary,medium,run09,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/medium/run09/ntp_boundary_live.log,513.0,0.14636060606060608,0.1378532484802229,0.425825,0.4439,0.27625606060606056,0.4827,0.7746151515151515,1.5563,377,255
client,medium,run10,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/medium/run10/ntp_client_live.log,557.0,-7.431168253968251,1.3548248530803977,-6.1007,10.1196,1.8951698412698412,2.8855,16.840312698412696,22.5473,377,255
boundary,medium,run10,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/medium/run10/ntp_boundary_live.log,512.0,0.23635454545454548,0.17019113615336964,0.62055,0.6742,0.2934439393939394,0.4279,1.0080348484848483,1.9045,377,255
